"   ","GPMS_ID","REGION","COUNTRY"
"2916","A00229","EMIA","AM"
"2917","302985","EMIA","KZ"
"2918","301189","EMIA","TW"
"2919","301337","LATAM","BR"
"2920","A00077","LATAM","PE"
"2921","400200","LATAM","MX"
"2922","302246","LATAM","CL"
"2923","400131","LATAM","MX"
"2924","304384","EMIA","KZ"
"2925","302339","EMIA","AZ"
"2926","304379","EMIA","KZ"
"2927","A00085","LATAM","PE"
"2928","A00200","EMIA","UA"
"2929","301740","EMIA","BY"
"2930","004813","EMIA","RU"
"2931","A00069","EMIA","SG"
"2932","A00069","EMIA","AZ"
"2933","A00045","EMIA","HK"
"2934","301668","EMIA","KZ"
"2935","301453","EMIA","UA"
"2936","003133","LATAM","MX"
"2937","A00229","EMIA","ZA"
"2938","300878","EMIA","AM"
"2939","004808","EMIA","RU"
"2940","303796","EMIA","ZA"
"2941","304562","EMIA","CN"
"2942","301529","EMIA","FSA"
"2943","301189","EMIA","LK"
"2944","302339","EMIA","KZ"
"2945","003604","LATAM","CL"
"2946","A00069","EMIA","UA"
"2947","A00069","EMIA","AU"
"2948","A00045","EMIA","VN"
